16.17,0,0
16.35,1,0
16.60,1,16.89
16.96,1,0
17.22,0,0
17.48,0,0
17.74,1,0
18,0,0
18.26,1,0,1
18.43,0,0
18.70,1,0
19.04,1,0
19.30,0,0
19.57,0,0
19.73,1,20.61
21.04,1,0
21.39,1,0
21.57,0,0
21.83,1,0
22.09,1,0
22.17,0,0
22.34,1,0
22.70,1,0
22.96,0,24.26
24.52,0,0
24.70,1,0
24.91,1,25.24,1
25.30,0,0
25.57,0,0
25.83,1,0
26.09,0,0
26.35,1,0
26.61,1,0
26.78,0,0
27.03,1,27.33,1
27.39,0,0
27.65,0,0
27.83,0,0
28.09,1,29.22
29.39,0,0
29.74,1,0
29.91,0,0
30.13,1,0
30.52,0,0
30.78,1,0
30.96,1,0
31.17,1,33
33.57,1,0,1
33.91,1,0
34.09,0,0
34.26,1,34.50
34.57,0,0
34.96,0,0
35.13,1,0
35.35,1,37.30,1
37.57,0,0
39.13,0,0
39.65,1,0
40.70,1,0
41.74,1,0
42.78,1,0
43.57,0,0
43.83,1,0
44.61,1,0
44.87,1,0
45.91,1,0
46.70,0,0
46.96,1,0
47.74,0,0
48,0,0
48.52,1,0
49.04,0,0
49.83,0,0
50.09,1,0
50.35,1,0
50.61,1,0
50.87,0,0
51.13,1,0
51.65,0,0
52.17,1,0
52.70,1,0,1
53.22,0,0
54,0,0
54.26,1,0
54.78,1,0
55.04,0,0
55.30,1,0
55.83,0,0
56.35,1,56.87
58.43,1,0
59.22,0,0
59.48,0,0
59.74,1,0
60,1,0
60.26,0,0
60.52,1,0
61.04,1,0
61.30,0,62.09
62.35,0,0
62.61,1,0,1
62.87,1,0
63.13,0,0
63.39,0,0
63.65,1,0
64.04,0,0
64.43,1,0
64.70,0,65.22
65.48,0,0
65.74,1,0
66.78,0,0
67.57,0,0
67.83,0,0
68.09,1,0
68.35,0,0
68.61,1,0
68.87,1,0
69.26,1,0
69.65,1,70.43
70.70,1,0
70.96,0,0
71.22,0,0
71.48,0,0
71.74,1,0
72,1,0
72.26,0,0
72.52,1,0
72.78,0,0
73.04,0,73.57
73.83,1,0,1
74.09,0,0
74.87,0,0
75.13,1,0
75.39,1,0
75.65,0,0
75.91,0,0
76.17,1,0
76.43,0,0
76.70,1,0
76.96,0,0
77.22,1,77.74
78,0,0
78.26,1,0
79.30,0,0
79.48,1,0
79.57,0,0
79.74,1,0
79.83,0,0
80,1,0
80.09,0,0
80.26,1,0
80.35,0,0
80.52,1,0
80.61,0,0
80.78,0,0
81.04,0,0
81.30,0,0
81.39,1,81.72
81.85,1,82.11
82.17,0,0
82.43,1,0
82.57,0,83.09
83.22,0,0
83.48,0,0
83.74,1,0
84,1,0
84.26,0,0
84.52,0,0
84.78,0,0
85.04,1,0
85.22,0,85.24
85.48,1,86.28
86.35,0,0
86.52,1,87.13
87.83,0,0
87.91,1,88
88.09,0,88.43
88.61,0,0
88.70,1,88.78
88.87,0,89.22
89.39,0,0
89.48,1,0
89.65,1,89.87
89.91,0,0
90,1,0
90.17,1,90.52
90.52,0,0
90.78,0,0
90.96,1,91.70
91.83,0,0
92,0,0
92.09,1,0
92.35,1,0
92.61,0,0
92.87,1,0
93.13,0,0
93.39,0,0
93.57,1,0
93.83,1,94.43
94.70,1,0
94.96,0,0
95.74,0,0
96,0,0
96.17,0,0
96.26,1,0
96.52,1,0
96.78,0,0
97.04,1,0
97.30,0,0
97.57,0,0
97.74,1,0
98,1,98.61
98.87,0,0
99.13,1,0
100.43,0,0
100.70,0,0
100.96,0,0
101.22,1,0
101.48,1,0
101.74,0,0
102,0,0
102.26,1,102.65
102.78,0,0
103.04,0,0
103.30,1,103.70
103.83,0,0
104.09,0,0
104.35,0,104.61
104.74,1,105
105.13,0,0
105.39,0,105.78
105.78,1,106.04
106.17,0,106.30
106.43,0,0
106.52,1,108.65
108.78,0,0
109.04,0,0
109.30,0,0
109.57,1,0
109.83,1,0
110.09,0,0
110.35,0,0
110.61,1,111
111.13,0,0
111.39,0,0
111.65,1,112.04
112.17,0,0
112.43,0,0
112.70,0,113.02
113.04,1,113.41
113.45,0,0
113.74,0,114
114.13,1,114.39
114.52,0,0
114.78,1,115.70
115.74,1,0
115.83,0,116.09
116.22,0,0
116.48,0,0,1
116.74,1,118.04,1
118.43,1,118.76
118.83,0,119.87
120,1,120.39,1
120.52,1,120.91
121.04,0,121.83
121.83,1,122.09
122.09,0,122.61
122.61,1,123.07
123.13,0,124.04
124.17,1,125.22,1
125.22,0,126.65,1
126.78,0,127.04
127.17,1,127.50,1
127.57,1,0
127.83,1,0
128.09,0,0
128.22,1,128.87
128.87,0,0
129.13,0,0
129.39,1,129.78
129.91,1,130.30
130.43,1,130.83
130.96,0,131.35
131.41,0,132.39,1
132.52,1,133.50
133.57,0,135.07
135.13,1,135.59
135.65,0,136.63,1
136.70,1,137.67,1
137.74,0,0
137.91,1,0
138.09,1,138.70,1
138.78,0,0
138.96,0,0
139.13,1,139.74
139.83,0,141.07
141.39,0,0
141.65,0,0
141.91,1,143.41
143.48,1,0
143.65,0,0
143.83,1,0
144,1,0
144.17,0,0
144.35,0,145.04
145.04,1,146.02,1
146.09,0,0
146.26,0,0
146.43,1,147.04
147.13,0,0
147.30,1,0
147.48,1,148.09,1
148.17,0,149.22,1
149.74,0,0
